                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.85374,                  1.072,                 1.1546,                0.92653,                0.98912,                0.99083,                0.87108,                0.52202,                 0.7897,                0.83247,             0.00066173,             0.00066173,             0.00066173
                      2,                0.77752,                0.64922,                 1.0859,                0.96094,                0.96467,                0.99085,                0.89524,                0.47243,                0.54495,                0.81828,              0.0012758,              0.0012758,              0.0012758
                      3,                0.73752,                0.57358,                 1.0714,                0.97551,                0.98039,                0.99314,                0.88791,                0.52433,                0.55271,                0.83984,              0.0018371,              0.0018371,              0.0018371
                      4,                0.71151,                0.53021,                 1.0644,                0.96138,                0.97609,                0.98857,                0.86479,                0.59075,                0.51629,                0.87461,              0.0017624,              0.0017624,              0.0017624
                      5,                0.67686,                0.48602,                 1.0441,                0.99935,                      1,                  0.995,                0.90725,                 0.4964,                0.35701,                0.81474,              0.0017624,              0.0017624,              0.0017624
                      6,                0.64589,                0.45987,                 1.0338,                0.99746,                      1,                  0.995,                0.94552,                0.35686,                0.34482,                0.77531,              0.0016832,              0.0016832,              0.0016832
                      7,                0.60474,                0.43003,                 1.0145,                0.96124,                      1,                0.99414,                0.94599,                0.41299,                0.30807,                0.79821,               0.001604,               0.001604,               0.001604
                      8,                0.59855,                0.41658,                 1.0119,                0.99971,                      1,                  0.995,                0.95243,                0.33745,                0.29529,                0.78586,              0.0015248,              0.0015248,              0.0015248
                      9,                0.59479,                0.41173,                 1.0067,                0.99963,                      1,                  0.995,                  0.898,                0.38418,                0.29713,                 0.7836,              0.0014456,              0.0014456,              0.0014456
                     10,                0.56108,                0.38711,                0.99196,                 0.9997,                      1,                  0.995,                0.93091,                0.34784,                0.30628,                0.77932,              0.0013664,              0.0013664,              0.0013664
                     11,                0.54272,                0.37949,                0.99127,                0.99964,                      1,                  0.995,                0.97383,                 0.3025,                0.24761,                0.74588,              0.0012872,              0.0012872,              0.0012872
                     12,                0.51119,                0.35699,                0.97552,                0.99912,                      1,                  0.995,                0.93218,                0.36112,                0.22148,                0.77708,               0.001208,               0.001208,               0.001208
                     13,                0.50483,                0.35508,                0.97148,                0.99972,                      1,                  0.995,                 0.9821,                0.30605,                0.24963,                0.75892,              0.0011288,              0.0011288,              0.0011288
                     14,                0.47833,                0.33722,                0.96496,                0.99966,                      1,                  0.995,                 0.9721,                0.30221,                0.24945,                0.75954,              0.0010496,              0.0010496,              0.0010496
                     15,                0.47228,                0.33003,                0.96342,                0.99968,                      1,                  0.995,                0.96621,                0.25244,                0.22045,                0.73753,              0.0009704,              0.0009704,              0.0009704
                     16,                0.35319,                0.23838,                0.87947,                 0.9997,                      1,                  0.995,                0.95721,                0.29837,                0.24008,                0.75984,              0.0008912,              0.0008912,              0.0008912
                     17,                0.33364,                0.22129,                0.87147,                0.99972,                      1,                  0.995,                  0.981,                0.29461,                0.21762,                0.76959,               0.000812,               0.000812,               0.000812
                     18,                0.31567,                0.20815,                0.86561,                0.99973,                      1,                  0.995,                0.96627,                 0.2816,                0.22525,                0.75818,              0.0007328,              0.0007328,              0.0007328
                     19,                0.30691,                0.20011,                 0.8687,                0.99973,                      1,                  0.995,                0.96891,                0.29119,                0.21756,                0.74207,              0.0006536,              0.0006536,              0.0006536
                     20,                0.28759,                0.19029,                0.86027,                0.99973,                      1,                  0.995,                0.99161,                 0.2513,                 0.1899,                0.74108,              0.0005744,              0.0005744,              0.0005744
                     21,                0.28081,                0.17954,                0.85436,                0.99973,                      1,                  0.995,                0.98412,                0.25689,                0.18597,                0.73684,              0.0004952,              0.0004952,              0.0004952
                     22,                0.26041,                0.16789,                0.85387,                0.99973,                      1,                  0.995,                0.98984,                0.21155,                 0.1688,                0.73937,               0.000416,               0.000416,               0.000416
                     23,                0.25293,                 0.1613,                0.84908,                0.99973,                      1,                  0.995,                0.98823,                0.20299,                0.16713,                0.73381,              0.0003368,              0.0003368,              0.0003368
                     24,                0.24033,                 0.1559,                0.84415,                0.99973,                      1,                  0.995,                0.99032,                0.22937,                0.18782,                0.74016,              0.0002576,              0.0002576,              0.0002576
                     25,                0.23377,                0.14759,                0.84387,                0.99974,                      1,                  0.995,                0.99202,                 0.2046,                0.16628,                0.73671,              0.0001784,              0.0001784,              0.0001784
