                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0909,                 1.7959,                 1.3057,                      1,                0.99121,                  0.995,                 0.8191,                 0.8124,                 1.1248,                0.93159,                0.00054,                0.00054,                0.00054
                      2,                0.83407,                0.87214,                 1.0971,                 0.8554,                0.84578,                0.85904,                 0.6582,                0.72265,                 1.4038,                 1.0344,              0.0010456,              0.0010456,              0.0010456
                      3,                0.86906,                0.81962,                 1.1162,                 0.9884,                      1,                  0.995,                0.74088,                0.89992,                 1.1026,                 1.0282,              0.0014957,              0.0014957,              0.0014957
                      4,                0.84882,                0.78863,                 1.1046,                0.90152,                0.92857,                0.97444,                0.86906,                0.55679,                0.82261,                0.94021,               0.001703,               0.001703,               0.001703
                      5,                0.78434,                0.69201,                 1.0676,                0.90469,                0.85714,                0.93814,                0.70899,                0.82098,                 1.0319,                 1.1047,               0.001703,               0.001703,               0.001703
                      6,                0.76749,                 0.6767,                 1.0735,                0.98443,                      1,                  0.995,                0.88842,                0.50253,                0.67465,                0.89981,               0.001604,               0.001604,               0.001604
                      7,                0.74036,                0.63555,                 1.0461,                0.99614,                      1,                  0.995,                0.88711,                0.54395,                0.60345,                0.89582,               0.001505,               0.001505,               0.001505
                      8,                  0.728,                0.61294,                 1.0602,                0.99641,                      1,                  0.995,                0.90223,                0.44541,                0.44988,                0.90827,               0.001406,               0.001406,               0.001406
                      9,                0.66669,                0.54102,                 1.0275,                0.99487,                      1,                  0.995,                0.90158,                0.52804,                0.44598,                 0.9343,               0.001307,               0.001307,               0.001307
                     10,                0.65926,                0.53191,                 1.0257,                0.99601,                      1,                  0.995,                0.85752,                0.67525,                0.48862,                 1.0287,               0.001208,               0.001208,               0.001208
                     11,                0.52855,                0.51419,                0.93553,                0.99046,                      1,                  0.995,                  0.928,                0.38812,                0.61128,                0.87327,               0.001109,               0.001109,               0.001109
                     12,                0.48937,                0.43757,                0.91649,                0.99466,                      1,                  0.995,                0.92981,                0.46753,                0.53821,                 0.9019,                0.00101,                0.00101,                0.00101
                     13,                0.47979,                0.41365,                0.89732,                0.99614,                      1,                  0.995,                0.91343,                0.44371,                0.44374,                0.87128,               0.000911,               0.000911,               0.000911
                     14,                0.44395,                 0.3783,                0.90625,                0.99633,                      1,                  0.995,                0.89362,                0.39146,                0.38302,                0.88017,               0.000812,               0.000812,               0.000812
                     15,                 0.4292,                0.35203,                0.88583,                 0.9963,                      1,                  0.995,                0.94472,                0.34431,                0.31004,                 0.8627,               0.000713,               0.000713,               0.000713
                     16,                0.44002,                 0.3558,                0.88921,                0.99613,                      1,                  0.995,                0.91393,                0.41133,                0.35603,                0.88194,               0.000614,               0.000614,               0.000614
                     17,                0.41653,                0.33216,                0.88446,                0.99615,                      1,                  0.995,                0.93357,                0.35967,                0.32466,                0.88105,               0.000515,               0.000515,               0.000515
                     18,                0.38258,                  0.311,                0.87954,                0.99617,                      1,                  0.995,                 0.9471,                0.29804,                0.26132,                0.86298,               0.000416,               0.000416,               0.000416
                     19,                0.36911,                 0.3025,                0.85737,                0.99634,                      1,                  0.995,                0.93605,                0.35693,                0.30833,                0.88118,               0.000317,               0.000317,               0.000317
                     20,                0.34547,                0.28778,                0.85789,                0.99637,                      1,                  0.995,                 0.9484,                0.36665,                0.28109,                0.86973,               0.000218,               0.000218,               0.000218
